Loch, Basin,Area (km2)
BILLEFJORDEN,1,58.59
BILLEFJORDEN,2,136.15
BILLEFJORDENNOSILL,1,190.4946
BILLEFJORDEN_S1,1,58.59
BILLEFJORDEN_S1,2,136.15
BILLEFJORDEN_S2,1,58.59
BILLEFJORDEN_S2,2,136.15
BILLEFJORDEN_S3,1,58.59
BILLEFJORDEN_S3,2,136.15
BILLEFJORDEN_S4,1,58.59
BILLEFJORDEN_S4,2,136.15
Billefjorden_S5,1,58.59
Billefjorden_S5,2,136.15
Billefjorden_S6,1,58.59
Billefjorden_S6,2,136.15
Billefjorden_S7,1,58.59
Billefjorden_S7,2,136.15
Billefjorden_S8,1,58.59
Billefjorden_S8,2,136.15
Billefjorden_S9,1,58.59
Billefjorden_S9,2,136.15
Billefjorden_S10,1,58.59
Billefjorden_S10,2,136.15
Billefjorden_S0,1,58.59
Billefjorden_S0,2,136.15
KONGSFJORDEN,1,188.2367158
