OBSERVATIONS

Stations
Stnr	Name	Operates from	Operates until	Altitude	Latitude	Longitude	Municipality	County	Region/Country
99840	SVALBARD LUFTHAVN	Oct 1964		28	78.2453	15.5015	Spitsbergen	Svalbard	NORWAY

Elements
Code	Name	Unit
NN	Cloud cover	octas

Coordinated Universal Time (UTC) is the time by the Prime Meridian and is the successor to the hour Greenwich Mean Time (GMT). It is 1 hour after Norwegian Mean Time (NMT) and 2 hours after the Norwegian summer time. UTC gives the hours from 00 to 23.
****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no	Year	Mnth	Date	Time(UTC)	NN
99840	2006	1	1	0	7
99840	2006	1	1	6	1
99840	2006	1	1	12	5
99840	2006	1	1	18	5
99840	2006	1	2	0	1
99840	2006	1	2	6	1
99840	2006	1	2	12	1
99840	2006	1	2	18	1
99840	2006	1	3	0	1
99840	2006	1	3	6	1
99840	2006	1	3	12	7
99840	2006	1	3	18	7
99840	2006	1	4	0	7
99840	2006	1	4	6	7
99840	2006	1	4	12	7
99840	2006	1	4	18	4
99840	2006	1	5	0	3
99840	2006	1	5	6	7
99840	2006	1	5	12	7
99840	2006	1	5	18	7
99840	2006	1	6	0	8
99840	2006	1	6	6	7
99840	2006	1	6	12	8
99840	2006	1	6	18	8
99840	2006	1	7	0	8
99840	2006	1	7	6	7
99840	2006	1	7	12	8
99840	2006	1	7	18	2
99840	2006	1	8	0	7
99840	2006	1	8	6	7
99840	2006	1	8	12	7
99840	2006	1	8	18	7
99840	2006	1	9	0	1
99840	2006	1	9	6	7
99840	2006	1	9	12	7
99840	2006	1	9	18	7
99840	2006	1	10	0	7
99840	2006	1	10	6	7
99840	2006	1	10	12	7
99840	2006	1	10	18	7
99840	2006	1	11	0	6
99840	2006	1	11	6	7
99840	2006	1	11	12	.
99840	2006	1	11	18	7
99840	2006	1	12	0	.
99840	2006	1	12	6	6
99840	2006	1	12	12	2
99840	2006	1	12	18	1
99840	2006	1	13	0	7
99840	2006	1	13	6	8
99840	2006	1	13	12	7
99840	2006	1	13	18	7
99840	2006	1	14	0	7
99840	2006	1	14	6	7
99840	2006	1	14	12	7
99840	2006	1	14	18	8
99840	2006	1	15	0	7
99840	2006	1	15	6	7
99840	2006	1	15	12	7
99840	2006	1	15	18	8
99840	2006	1	16	0	7
99840	2006	1	16	6	7
99840	2006	1	16	12	.
99840	2006	1	16	18	3
99840	2006	1	17	0	5
99840	2006	1	17	6	7
99840	2006	1	17	12	7
99840	2006	1	17	18	7
99840	2006	1	18	0	7
99840	2006	1	18	6	7
99840	2006	1	18	12	7
